,댓글
330,"Oh this is Berry, wonderful transformation! Copycat 🐱 😂"
331,🤣❤️👏
332,🤣🤣
333,😮❤️
334,great to see that people recognize non korean standard beauty is also beautiful 😍
335,화장 이렇게 했는데 왜 이쁘지??? 싱크는 맞는데 왜 이뻐 ㅋㅋㅋㅋㅋㅋㅋ 드라마 하셨어도 대박 났을듯...연기력은 비슷 ㅋㅋㅋ
336,😍😍🔥🔥❤️❤️
337,🚥
338,Looking cute. But how did you get there? And get out?😂
339,🔥🔥🔥🔥🔥
340,Looking super cute Berry 😍
341,🔥
342,"Nice pic ,not bad 😍😍😍. You need help to get out of there? 😁"
343,❤️❤️❤️ cute and beautiful like the hair color
344,How did you get in the bottom of my coffee cup?
345,😍❤️
346,❤️❤️❤️
347,20살도 안되보임😍
